Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}

Which river's mouth is located in Gulf of Mexico and has source location as Itasca State Park ?	SELECT DISTINCT ?uri WHERE {?uri dbo:riverMouth dbr:Gulf_of_Mexico . ?uri dbp:sourceLocation dbr:Itasca_State_Park  . ?uri rdf:type dbo:River}

Whose youth clubs used to participate in Argentine Primera Division?	SELECT DISTINCT ?uri WHERE { ?x dbp:league dbr:Argentine_Primera_División . ?uri dbp:youthclubs ?x  . }

Which prime ministers were served by the governor who appointed Murray Gleeson?	SELECT DISTINCT ?uri WHERE { dbr:Murray_Gleeson dbo:appointer ?x . ?x dbo:primeMinister ?uri  . }

What are the movies whose music composer is Akira Ifukube?	SELECT DISTINCT ?uri WHERE {?uri dbo:musicComposer dbr:Akira_Ifukube  . ?uri rdf:type dbo:Film}

Which adminstrative region of Lawrence F. Cafero is also the resting place of Samuel Keeler ?	 SELECT DISTINCT ?uri WHERE { dbr:Lawrence_F._Cafero dbo:region ?uri. dbr:Samuel_Keeler dbo:restingPlace ?uri}

Who appointed both John Drayton and William Clark to their respective offices?	SELECT DISTINCT ?uri WHERE { dbr:John_Drayton dbp:appointer ?uri. dbr:William_Clark dbp:appointer ?uri . }

What is the mouth mountain of Current River (Missouri) ?	 SELECT DISTINCT ?uri WHERE { dbr:Current_River_(Missouri) dbo:mouthMountain ?uri }

Who all did their high school in Denbigh high School?	 SELECT DISTINCT ?uri WHERE {?uri dbp:highSchool dbr:Denbigh_High_School_(Newport_News_Virginia) }

In which part of the world will I find Kim Sawchuk and Vuelta Mexico Telmex?	SELECT DISTINCT ?uri WHERE { dbr:Kim_Sawchuk dbp:region ?uri. dbr:Vuelta_Mexico_Telmex dbp:region ?uri . }

List everything written in languages developed by EXperimental Computing Facility?	SELECT DISTINCT ?uri WHERE { ?x dbo:author dbr:EXperimental_Computing_Facility . ?uri dbp:programmingLanguage ?x  . ?uri rdf:type dbo:Work}

Who is the singer of the album which has a song Me and My arrow ?	SELECT DISTINCT ?uri WHERE { dbr:Me_and_My_Arrow dbo:album ?x . ?x dbp:narrated ?uri  . ?x rdf:type dbo:Album}

Is Azerbaijan the membership of European Go Federation?	ASK WHERE { dbr:European_Go_Federation dbp:membership dbr:Azerbaijan }

Who debuted their career in a team coached by Chip Kelly?	SELECT DISTINCT ?uri WHERE { ?x dbp:coach dbr:Chip_Kelly . ?uri dbo:debutTeam ?x  . }

How many albums did the maker of The Band produce?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:artist dbr:The_Band . ?x dbo:subsequentWork ?uri  . ?uri rdf:type dbo:Album}

What is the religious affiliation of Hong Kong Taoist Association Tang Hin Memorial Secondary School ?	 SELECT DISTINCT ?uri WHERE { dbr:Hong_Kong_Taoist_Association_Tang_Hin_Memorial_Secondary_School dbp:religiousAffiliation ?uri }

Did Joe Namath did his highschool in Beaver Falls High School?	ASK WHERE { dbr:Joe_Namath dbp:highSchool dbr:Beaver_Falls_High_School }

Which work is both Neil Cross and Lars Pearson both known for ?	SELECT DISTINCT ?uri WHERE { dbr:Neil_Cross dbo:notableWork ?uri. dbr:Lars_Pearson dbo:notableWork ?uri . }

What are some non fiction subjects dealt with in fantasy novels?	SELECT DISTINCT ?uri WHERE { ?x dbo:literaryGenre dbr:Fantasy . ?x dbo:nonFictionSubject ?uri  . ?x rdf:type dbo:Book}

Which predecessor of the PlayStation 4 is also the developer of Oddworld: Munch's Oddysee?	 SELECT DISTINCT ?uri WHERE { dbr:PlayStation_4 dbp:predecessor ?uri. dbr:Oddworld:_Munch's_Oddysee dbo:developer ?uri}

Name few movies directed by Tim Burton ?	SELECT DISTINCT ?uri WHERE {?uri dbp:director dbr:Tim_Burton  . ?uri rdf:type dbo:Film}

Who has fought in wars under commander Arthur St Clair?	SELECT DISTINCT ?uri WHERE { ?x dbo:commander dbr:Arthur_St._Clair . ?x dbp:combatant ?uri  . }

Which awards have been given to immunologists?	SELECT DISTINCT ?uri WHERE { ?x dbp:fields dbr:Immunology . ?x dbo:award ?uri  . }

What are the awards won by the producer of Puss in Boots (film)?	SELECT DISTINCT ?uri WHERE { dbr:Puss_in_Boots_(1922_film) dbo:producer ?x . ?x dbo:award ?uri  . }

Name the college of the Allama Matthews which also has affiliation with  Monroe Carell Jr. Children's Hospital at Vanderbilt	 SELECT DISTINCT ?uri WHERE { dbr:Allama_Matthews dbo:college ?uri. dbr:Monroe_Carell_Jr._Children's_Hospital_at_Vanderbilt dbp:affiliation ?uri}

Name the debut team of Butch Metzger ?	 SELECT DISTINCT ?uri WHERE { dbr:Butch_Metzger dbo:debutTeam ?uri }

Name the common distributing label of the Chinga Chang Records and StandBy Records ?	SELECT DISTINCT ?uri WHERE { dbr:Chinga_Chang_Records dbo:distributingLabel ?uri. dbr:StandBy_Records dbo:distributingLabel ?uri . }

What are some relatives of the spouse of Uncle henry from Oz?	SELECT DISTINCT ?uri WHERE { ?x dbo:spouse dbr:Uncle_Henry_(Oz) . ?uri dbo:relative ?x  . }

Which line of the Vadodara Junction railway station is the route end of Mumbai Vadodara Expressway ?	 SELECT DISTINCT ?uri WHERE { dbr:Mumbai_Vadodara_Expressway dbo:routeEnd ?uri. dbr:Vadodara_Junction_railway_station dbp:line ?uri}

Foxconn makes how many things?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:manufacturer dbr:Foxconn  . }

In which racing championships did Bobby Beasley and Martin Molony participate?	SELECT DISTINCT ?uri WHERE { dbr:Bobby_Beasley dbo:race ?uri. dbr:Martin_Molony dbo:race ?uri . }

What is telecasted on the network where Deborah Turness holds important position?	SELECT DISTINCT ?uri WHERE { ?x dbo:keyPerson dbr:Deborah_Turness . ?uri dbo:network ?x  . }

Which actors have performed in plays performed in New York?	SELECT DISTINCT ?uri WHERE { ?x dbp:place dbr:New_York_City . ?x dbp:starring ?uri  . ?x rdf:type dbo:Play}

What currencies are used in the countries which have been governed by Francois Hollande?	SELECT DISTINCT ?uri WHERE { ?x dbo:leader dbr:François_Hollande . ?x dbo:currency ?uri  . ?x rdf:type dbo:Country}

Name the ground of Al-Rayan SC ?	 SELECT DISTINCT ?uri WHERE { dbr:Al-Rayan_SC dbo:ground ?uri }

Who is the owner of the bank which owns Bloomberg Radio?	SELECT DISTINCT ?uri WHERE { dbr:Bloomberg_Radio dbo:owner ?x . ?x dbp:owner ?uri  . ?x rdf:type dbo:Bank}

Where did the office holder died who also have faith in Episcopal Church ?	SELECT DISTINCT ?uri WHERE { ?x dbo:religion dbr:Episcopal_Church_(United_States) . ?x dbo:deathPlace ?uri  . ?x rdf:type dbo:OfficeHolder}

Is Another Lonely Night in New York by the musical band Robin Gibb?	ASK WHERE { dbr:Another_Lonely_Night_in_New_York dbo:musicalBand dbr:Robin_Gibb }

List all the developers of the Oddworld series?	SELECT DISTINCT ?uri WHERE { ?x dbo:series dbr:Oddworld . ?x dbo:developer ?uri  . }

To which political party does the successor of Radhabinod Koijam belong?	SELECT DISTINCT ?uri WHERE { dbr:Radhabinod_Koijam dbp:successor ?x . ?x dbp:party ?uri  . }

Which builder of Edwin Andrews Air Base isalso place of birth of the Akinoumi Setsuo ?	 SELECT DISTINCT ?uri WHERE { dbr:Edwin_Andrews_Air_Base dbo:builder ?uri. dbr:Akinoumi_Setsuo dbp:placeOfBirth ?uri}

is ANYway in the Quack album?	ASK WHERE { dbr:ANYway dbo:album dbr:Quack_(album) }

What are the political parties whose leaders have lived in the Prime Minister's House?	SELECT DISTINCT ?uri WHERE { ?x dbo:residence dbr:Prime_Minister's_House_(Colombo) . ?uri dbo:leader ?x  . ?uri rdf:type dbo:PoliticalParty}

What is a common ingredient used in boyt Blodpalt and Kaszanka ?	SELECT DISTINCT ?uri WHERE { dbr:Blodpalt dbo:ingredient ?uri. dbr:Kaszanka dbo:ingredient ?uri . }

Name a TV show judged by Jennifier Lopez and presented by Brian Dunkleman ?	SELECT DISTINCT ?uri WHERE {?uri dbp:judges dbr:Jennifer_Lopez . ?uri dbp:presenter dbr:Brian_Dunkleman  . ?uri rdf:type dbo:TelevisionShow}

Is the Chiva Bus by the Ford Motor Company?	ASK WHERE { dbr:Chiva_bus dbo:automobilePlatform dbr:Ford_Motor_Company }

From how many different places have participants of Breeders's Cup Turf come?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:race dbr:Breeders'_Cup_Turf . ?x dbp:birthPlace ?uri  . }

Was Lionel Messi a member  of the 2009 FIFA World Cup squads?	ASK WHERE { dbr:2009_FIFA_Club_World_Cup_squads dbo:currentMember dbr:Lionel_Messi }

Name the company founded by Jim Harris located in Harris County Texas ?	SELECT DISTINCT ?uri WHERE {?uri dbo:foundedBy dbr:Jim_Harris_(entrepreneur) . ?uri dbo:locationCity dbr:Harris_County_Texas  . ?uri rdf:type dbo:Company}

Which video game composed by Hirokazu Tanaka can be played on virtual Console ?	SELECT DISTINCT ?uri WHERE {?uri dbo:computingPlatform dbr:Virtual_Console . ?uri dbp:composer dbr:Hirokazu_Tanaka  . ?uri rdf:type dbo:VideoGame}

Give me the count of tenants of the stadia whose one of the tenants is Toronto Furies?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:tenants dbr:Toronto_Furies . ?x dbp:tenants ?uri }

what kind of things play on WBIG FM?	 SELECT DISTINCT ?uri WHERE { dbr:WBIG-FM dbo:programmeFormat ?uri }

What is the serving railway line of Warwick railway station Perth ?	 SELECT DISTINCT ?uri WHERE { dbr:Warwick_railway_station_Perth dbo:servingRailwayLine ?uri }

Who was the prime minister under which the predecessor of Derick Heathcoat Amory served?	SELECT DISTINCT ?uri WHERE { ?x dbp:successor dbr:Derick_Heathcoat-Amory_1st_Viscount_Amory . ?x dbp:primeminister ?uri  . }

Who wrote the subsequent work of One Day at a Time (Em's Version) ?	SELECT DISTINCT ?uri WHERE { dbr:One_Day_at_a_Time_(Em's_Version) dbo:subsequentWork ?x . ?x dbo:writer ?uri  . }

What are the birth place of the people who are the star of Dhoondte Reh Jaaoge?	SELECT DISTINCT ?uri WHERE { dbr:Dhoondte_Reh_Jaaoge!_(1998_film) dbo:starring ?x . ?x dbo:birthPlace ?uri  . ?x rdf:type dbo:Person}

Who is the architect of Red House London ?	 SELECT DISTINCT ?uri WHERE { dbr:Red_House_London dbp:architect ?uri }

Count the number of tenants whose one of the tenant is Toronto Phantoms ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:tenant dbr:Toronto_Phantoms . ?x dbo:tenant ?uri }

Which relative of George Madison is the appointer of John Drayton ?	 SELECT DISTINCT ?uri WHERE { dbr:John_Drayton dbp:appointer ?uri. dbr:George_Madison dbo:relation ?uri}

Which company manufactured Delta III?	 SELECT DISTINCT ?uri WHERE { dbr:Delta_III dbo:manufacturer ?uri }

List the movies edited by Julian Doyle in which music was composed by Geoffrey Brugon ?	SELECT DISTINCT ?uri WHERE {?uri dbp:music dbr:Geoffrey_Burgon . ?uri dbp:editing dbr:Julian_Doyle_(filmmaker)  . ?uri rdf:type dbo:Film}

Name the river whose mouth mountain is Essex and river mouth is North Sea?	SELECT DISTINCT ?uri WHERE {?uri dbo:mouthMountain dbr:Essex . ?uri dbo:riverMouth dbr:North_Sea  . ?uri rdf:type dbo:River}

Who is the owner of Bloomberg L.P. ?	 SELECT DISTINCT ?uri WHERE { dbr:Bloomberg_L.P. dbp:owner ?uri }

List the houses of Parliament of India ?	 SELECT DISTINCT ?uri WHERE { dbr:Parliament_of_India dbp:houses ?uri }

Richard Gant did a guest appearance on which series?	SELECT DISTINCT ?uri WHERE { ?x dbp:guests dbr:Richard_Gant . ?x dbo:series ?uri  . }

What is the home stadium of the soccer club seasons whose chairman is Merritt Paulson?	SELECT DISTINCT ?uri WHERE { ?x dbp:chairman dbr:Merritt_Paulson . ?x dbo:homeStadium ?uri  . ?x rdf:type dbo:SoccerClubSeason}

What is the government type of Kumta ?	 SELECT DISTINCT ?uri WHERE { dbr:Kumta dbp:governmentType ?uri }

What genres of games are available on the Commodore 64?	SELECT DISTINCT ?uri WHERE { ?x dbo:computingPlatform dbr:Commodore_64 . ?x dbp:genre ?uri  . ?x rdf:type dbo:VideoGame}

What is the protected area whose nearest city is Kenya?	SELECT DISTINCT ?uri WHERE {?uri dbo:nearestCity dbr:Kenya  . ?uri rdf:type dbo:ProtectedArea}

How many companies have launched their rockets from the Vandenerg Air base?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:launchSite dbr:Vandenberg_Air_Force_Base . ?x dbo:manufacturer ?uri  . ?uri rdf:type dbo:Company}

Is Anne Hidalgo the mayor of Paris?	ASK WHERE { dbr:Paris dbo:mayor dbr:Anne_Hidalgo }

Name the driver who was at pole in 1997 Canadian Grand Prix and also 1994 Spanish Grand Prix ?	 SELECT DISTINCT ?uri WHERE { dbr:1997_Canadian_Grand_Prix dbp:poleDriver ?uri. dbr:1994_Spanish_Grand_Prix dbo:poleDriver ?uri}

Which college has been attended  by both Mr. Hubert Wiggs and Mr. Alvin Bell?	SELECT DISTINCT ?uri WHERE { dbr:Hubert_Wiggs dbo:college ?uri. dbr:Alvin_Bell dbo:college ?uri . }

In which city of Pittsburg Steelers was the Congress of Inductrial Organization founded ?	 SELECT DISTINCT ?uri WHERE { dbr:Congress_of_Industrial_Organizations dbp:founded ?uri. dbr:Pittsburgh_Steelers dbp:city ?uri}

What is the academic discipline of the Journal of Cerebral Blood Flow & Metabolism and also an ingredient of the Ragout fin ?	 SELECT DISTINCT ?uri WHERE { dbr:Journal_of_Cerebral_Blood_Flow_&_Metabolism dbo:academicDiscipline ?uri. dbr:Ragout_fin dbo:ingredient ?uri}

Was Duanne Allman famous for playing the Gibson SG?	ASK WHERE { dbr:Duane_Allman dbp:notableInstruments dbr:Gibson_SG }

List the people casted in Betsy's Wedding and 16 candles?	SELECT DISTINCT ?uri WHERE { dbr:Betsy's_Wedding dbo:starring ?uri. dbr:Sixteen_Candles dbp:starring ?uri . ?uri rdf:type dbo:Person}

Is Maldives a member ofof South Asia Subregional Economic Cooperation?	ASK WHERE { dbr:South_Asia_Subregional_Economic_Cooperation dbp:membership dbr:Maldives }

What are the settlements whose neighboring municipalities is Lancy?	SELECT DISTINCT ?uri WHERE {?uri dbp:neighboringMunicipalities dbr:Lancy  . ?uri rdf:type dbo:Settlement}

For how many things are people famous who were born in Nebraska?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:birthPlace dbr:Nebraska . ?x dbo:knownFor ?uri  . }

What currencies are used in the country whose capital is Podgorica?	SELECT DISTINCT ?uri WHERE { ?x dbo:capital dbr:Podgorica . ?x dbp:currency ?uri  . }

What is the political party of the Satish Kumar Sharma which is also the political party of Manthena Venkata Raju?	SELECT DISTINCT ?uri WHERE { dbr:Satish_Kumar_Sharma dbo:party ?uri. dbr:Manthena_Venkata_Raju dbo:party ?uri . }

Which shows theme music is composed by a band which has Larry Lalonde in it?	SELECT DISTINCT ?uri WHERE { ?x dbo:bandMember dbr:Larry_LaLonde . ?uri dbp:themeMusicComposer ?x  . ?uri rdf:type dbo:TelevisionShow}

Which rivers start from the Provinces of Zambia?	SELECT DISTINCT ?uri WHERE { ?x dbp:settlementType dbr:Provinces_of_Zambia . ?uri dbo:sourceRegion ?x  . ?uri rdf:type dbo:River}

Name a famous relative of barry voight	SELECT DISTINCT ?uri WHERE {?uri dbo:relative dbr:Barry_Voight  . }

Which company developed both Dart and Go?	SELECT DISTINCT ?uri WHERE { dbr:Dart_(programming_language) dbo:developer ?uri. dbr:Go_(programming_language) dbo:developer ?uri . }

Georg Meissner was doctoral supervisor of which scientist ?	SELECT DISTINCT ?uri WHERE {?uri dbp:doctoralAdvisor dbr:Georg_Meissner  . ?uri rdf:type dbo:Scientist}

What awards have been given to some screenwriters?	SELECT DISTINCT ?uri WHERE { ?x dbo:occupation dbr:Screenwriter . ?x dbo:award ?uri  . }

Which city near Nihoa is the place of death of jim Brady ?	 SELECT DISTINCT ?uri WHERE { dbr:Nihoa dbp:nearestCity ?uri. dbr:Jim_Brady_(quarterback) dbo:deathPlace ?uri}

List the people who were the first one to climb a mountain in California?	SELECT DISTINCT ?uri WHERE { ?x dbo:locatedInArea dbr:California . ?x dbo:firstAscentPerson ?uri  . ?x rdf:type dbo:Mountain}

Where is the spouse of Henry Bourchier of Essex buried?	SELECT DISTINCT ?uri WHERE { ?x dbo:spouse dbr:Henry_Bourchier_1st_Earl_of_Essex . ?x dbp:placeOfBurial ?uri  . }

Who are the local authority of Buckhurst Hill County High School ?	 SELECT DISTINCT ?uri WHERE { dbr:Buckhurst_Hill_County_High_School dbo:localAuthority ?uri }

Which peak was first scaled by Krzysztof Wielicki?	 SELECT DISTINCT ?uri WHERE {?uri dbo:firstAscentPerson dbr:Krzysztof_Wielicki }

How many movies have a screenplay located in the States?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:birthPlace dbr:United_States . ?uri dbp:screenplay ?x  . ?uri rdf:type dbo:Film}

Which companies were behind the renovation of McKechnie Field ?	 SELECT DISTINCT ?uri WHERE { dbr:McKechnie_Field dbp:architect ?uri }

What teams have Avangard Omsk's players played for?	SELECT DISTINCT ?uri WHERE { ?x dbp:playedFor dbr:Avangard_Omsk . ?x dbo:formerTeam ?uri  . }

What is the location country of Teperberg 1870 ?	 SELECT DISTINCT ?uri WHERE { dbr:Teperberg_1870 dbp:locationCountry ?uri }

Name the rivers in the hudson highlands state parts?	 SELECT DISTINCT ?uri WHERE { dbr:Hudson_Highlands_State_Park dbp:river ?uri }

Is Ingo Steuer the formercoach of Stanislav Morozov?	ASK WHERE { dbr:Stanislav_Morozov dbp:formercoach dbr:Ingo_Steuer }

How many cars can I find related to the cars which have a V8 engine?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:engine dbr:V8_engine . ?x dbp:related ?uri  . }

Which destinations of the Air 2000 is also the location continent of the Falken Tire ?	 SELECT DISTINCT ?uri WHERE { dbr:Air_2000 dbp:destinations ?uri. dbr:Falken_Tire dbo:locationCountry ?uri}

what cities are close by LoDaisKa ?	 SELECT DISTINCT ?uri WHERE { dbr:LoDaisKa_Site dbo:nearestCity ?uri }

Why did Letita McTavish Hargrave and Sextus Barbour die?	 SELECT DISTINCT ?uri WHERE { dbr:Letitia_MacTavish_Hargrave dbo:deathCause ?uri. dbr:Sextus_Barbour dbp:deathCause ?uri}

What show has Sirius XM Holdings and Fox Sports Radio as channels ?	SELECT DISTINCT ?uri WHERE { ?uri dbo:channel dbr:Sirius_XM_Holdings . ?uri dbo:channel dbr:Fox_Sports_Radio . ?uri rdf:type dbo:TelevisionShow}

What are Breann McGregor and Anika Knudsen both known for?	SELECT DISTINCT ?uri WHERE { dbr:Breann_McGregor dbp:knownFor ?uri. dbr:Anika_Knudsen dbp:knownFor ?uri . }

List the softwares which runs on Microsoft Windows and has license as Software as a service?	SELECT DISTINCT ?uri WHERE {?uri dbo:operatingSystem dbr:Microsoft_Windows . ?uri dbo:license dbr:Software_as_a_service  . ?uri rdf:type dbo:Software}

List the movies produced by Michael Deeley ?	SELECT DISTINCT ?uri WHERE {?uri dbo:producer dbr:Michael_Deeley  . ?uri rdf:type dbo:Film}

What are the TV shows whose network is also known as the CW?	SELECT DISTINCT ?uri WHERE { ?x dbp:sisterNames dbr:The_CW . ?uri dbp:network ?x  . ?uri rdf:type dbo:TelevisionShow}

What are some tv shows created by Simon Fuller?	SELECT DISTINCT ?uri WHERE {?uri dbp:creator dbr:Simon_Fuller  . ?uri rdf:type dbo:TelevisionShow}

Count the number of sports played by the universities whose one of the sports is baketball ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:athletics dbr:Basketball . ?x dbp:athletics ?uri }

Where was the engineer born who manufactured EP R.E.P. 1?	SELECT DISTINCT ?uri WHERE { dbr:Esnault-Pelterie_R.E.P._1 dbp:manufacturer ?x . ?x dbo:birthPlace ?uri  . }

In which state is the team which has John Roeslein?	SELECT DISTINCT ?uri WHERE { dbr:John_Roeslein dbo:team ?x . ?x dbp:state ?uri  . }

Where has the employee of Columbia Records  worked ?	SELECT DISTINCT ?uri WHERE { ?x dbo:employer dbr:Columbia_Records . ?x dbo:employer ?uri  . }

Which sport at Polytechnic University of the Philippines Taguig is the field of Jon speelman ?	 SELECT DISTINCT ?uri WHERE { dbr:Jon_Speelman dbo:field ?uri. dbr:Polytechnic_University_of_the_Philippines_Taguig dbo:sport ?uri}

What are the sports played by the universities who also plays taekwondo ?	SELECT DISTINCT ?uri WHERE { ?x dbp:athletics dbr:Taekwondo . ?x dbp:athletics ?uri  . }

Which senator served in military units VMF-155 and VMF-218?	SELECT DISTINCT ?uri WHERE { ?uri dbo:militaryUnit dbr:VMF-155 . ?uri dbo:militaryUnit dbr:VMF-218 . ?uri rdf:type dbo:Senator}

How many members are there of the organization headquartered at Amstelveen?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:headquarters dbr:Amstelveen . ?x dbp:membership ?uri  . }

Does the Ontario International Airport serve the Inland Empire?	ASK WHERE { dbr:Ontario_International_Airport dbp:cityServed dbr:Inland_Empire }

Under which scientist did doctoral students erban ieica and Erich Bagge study?	SELECT DISTINCT ?uri WHERE { ?uri dbp:doctoralStudents dbr:Șerban_Țițeica . ?uri dbp:doctoralStudents dbr:Erich_Bagge . ?uri rdf:type dbo:Scientist}

Who did the associated act which is a Peter Frampton production ?	SELECT DISTINCT ?uri WHERE { ?x dbp:producer dbr:Peter_Frampton . ?uri dbp:associatedActs ?x  . }

Give me list of people who were the first to climb a peak in the Yosemite park?	SELECT DISTINCT ?uri WHERE { ?x dbo:locatedInArea dbr:Yosemite_National_Park . ?x dbo:firstAscentPerson ?uri  . }

Who is the film director of Alice's Wonderland ?	 SELECT DISTINCT ?uri WHERE { dbr:Alice's_Wonderland dbo:director ?uri }

Who is the builder of Estadio Nacional de Costa Rica (2011) ?	 SELECT DISTINCT ?uri WHERE { dbr:Estadio_Nacional_de_Costa_Rica_(2011) dbo:builder ?uri }

What is the common award won by Charles LeMaire and Eric Roth	 SELECT DISTINCT ?uri WHERE { dbr:Charles_LeMaire dbp:awards ?uri. dbr:Eric_Roth dbo:award ?uri}

Where does the river end which starts in Richmond Park?	SELECT DISTINCT ?uri WHERE { ?x dbo:sourcePlace dbr:Richmond_Park . ?x dbp:mouthLocation ?uri  . ?x rdf:type dbo:Stream}

Count the number of first drivers in all the GPs where Mika Hakkinen was a first driver?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:poleDriver dbr:Mika_Häkkinen . ?x dbo:firstDriver ?uri  . ?uri rdf:type dbo:RacingDriver}

Is the Kia Sportage similar to the Hyundai Lavita?	ASK WHERE { dbr:Hyundai_Lavita dbo:relatedMeanOfTransportation dbr:Kia_Sportage }

Which river has its roots in Baikal Mountains?	 SELECT DISTINCT ?uri WHERE {?uri dbo:sourceMountain dbr:Baikal_Mountains }

How many nations' volleyball players have played for the Russian women volleyball team?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:nationalteam dbr:Russia_women's_national_volleyball_team . ?x dbp:placeOfBirth ?uri  . ?uri rdf:type dbo:Country}

Which garrison of East Indies Station is also the route end of Mumbai Vadodara Express ?	 SELECT DISTINCT ?uri WHERE { dbr:Mumbai_Vadodara_Expressway dbo:routeEnd ?uri. dbr:East_Indies_Station dbo:garrison ?uri}

Name the tiemzone of Banlung ?	 SELECT DISTINCT ?uri WHERE { dbr:Banlung dbo:timeZone ?uri }

Who made the engine whose predecessor is the SHO V6?	SELECT DISTINCT ?uri WHERE { ?x dbp:predecessor dbr:Ford_SHO_V6_engine . ?x dbo:manufacturer ?uri  . ?x rdf:type dbo:Engine}

Does Mauritius follow a parliamentary republic?	ASK WHERE { dbr:Mauritius dbp:governmentType dbr:Parliamentary_republic }

In how many places was the album of King Crimson recorded?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:artist dbr:King_Crimson . ?x dbo:recordedIn ?uri  . }

Which musical artist collaborated with Tony Allen (musician) and label is Victor Entertainment?	SELECT DISTINCT ?uri WHERE {?uri dbo:associatedMusicalArtist dbr:Tony_Allen_(musician) . ?uri dbp:label dbr:Victor_Entertainment  . ?uri rdf:type dbo:MusicalArtist}

In how many teams have people previously played who play as defencemen?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:position dbr:Defenceman . ?x dbo:formerTeam ?uri  . ?uri rdf:type dbo:SportsTeam}

What is the total number of regions served by the companies which also serves Australia?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:regionServed dbr:Australia . ?x dbo:regionServed ?uri }

Whose children are married to Fredric Joliot-Curie?	SELECT DISTINCT ?uri WHERE { ?x dbp:spouse dbr:Frédéric_Joliot-Curie . ?uri dbp:children ?x  . }

Count the number of important works done by the writers of The Second Coming?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:The_Second_Coming_(TV_serial) dbo:author ?x . ?x dbo:notableWork ?uri  . }

Who is the composer of Girl from the North Country ?	 SELECT DISTINCT ?uri WHERE { dbr:Girl_from_the_North_Country dbo:composer ?uri }

who owns the ship Victoria?	 SELECT DISTINCT ?uri WHERE { dbr:Victoria_(ship) dbo:owner ?uri }

What is the base currency of the Benelux and is also used as money in Kerguelen Islands?	 SELECT DISTINCT ?uri WHERE { dbr:Benelux dbp:currency ?uri. dbr:Kerguelen_Islands dbo:currency ?uri}

What is the name of Mary's divine child?	SELECT DISTINCT ?uri WHERE {?uri dbo:parent dbr:Mary_(mother_of_Jesus)  . }

List the places where the relatives of Mark Donaldson died ?	SELECT DISTINCT ?uri WHERE { dbr:Mark_Donaldson_(rugby_player) dbp:relatives ?x . ?x dbo:deathPlace ?uri  . }

Which appointer of the Joseph Clay (Georgia) is also the  President of the William Carmichael (diplomat) ?	 SELECT DISTINCT ?uri WHERE { dbr:Joseph_Clay_(Georgia) dbo:appointer ?uri. dbr:William_Carmichael_(diplomat) dbp:president ?uri}

Among which sitcoms in which theme music is composed by Gary Portnoy is located in Massachusetts ?	SELECT DISTINCT ?uri WHERE {?uri dbo:location dbr:Massachusetts . ?uri dbp:themeMusicComposer dbr:Gary_Portnoy  . ?uri rdf:type dbo:TelevisionShow}

Over which rivers does a cable stayed bridge exists?	SELECT DISTINCT ?uri WHERE { ?x dbp:design dbr:Cable-stayed_bridge . ?x dbp:crosses ?uri  . }

Give me everything owned by networks which is lead by Steve Burke?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:keyPerson dbr:Steve_Burke_(businessman) . ?uri dbo:network ?x  . }

Ontario's ice hockey players have been a part of which teams?	SELECT DISTINCT ?uri WHERE { ?x dbp:placeOfBirth dbr:Ontario . ?x dbo:team ?uri  . ?x rdf:type dbo:IceHockeyPlayer}

For which teams did Ryan Powell play for?	 SELECT DISTINCT ?uri WHERE { dbr:Ryan_Powell_(lacrosse) dbo:team ?uri }

List the battles in which alumni of US Army Command and General Staff College fought?	SELECT DISTINCT ?uri WHERE { ?x dbo:almaMater dbr:United_States_Army_Command_and_General_Staff_College . ?x dbp:battles ?uri  . }

Name the military units whose command structure's headquarters is The Pentagon?	SELECT DISTINCT ?uri WHERE { ?x dbp:headquarters dbr:The_Pentagon . ?uri dbo:commandStructure ?x  . ?uri rdf:type dbo:MilitaryUnit}

